Lat,Lon,Total_Crimes,Total_Arrests,ASSAULT,BATTERY,BURGLARY,Damage,Trespass,HOMICIDE,MOTOR VEHICLE THEFT,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Summer,Winter,Spring
41.77513496,-87.590494546,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
41.775137088,-87.590399203,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41.775137396,-87.590446859,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41.775139801,-87.589970239,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
41.775139967,-87.5899959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.775159929,-87.587993984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.775160594,-87.588096627,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
41.775161483,-87.587810662,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.775162007,-87.58789131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.775162506,-87.587968292,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.775163062,-87.587631005,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.775163894,-87.587759308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.775164061,-87.587784969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.775454085,-87.602167418,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.77548106,-87.588848135,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.775813138,-87.603391493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
41.775838831,-87.600960557,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.775850275,-87.599743271,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.775858787,-87.605828953,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.775875891,-87.597312334,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.775877995,-87.605828736,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
41.775887252,-87.603394319,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.775893713,-87.600959933,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.7758951,-87.597312114,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.775898721,-87.602177032,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.775915752,-87.594543946,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.775919355,-87.598528993,5,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,1,2
41.775922068,-87.592967436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.775922969,-87.596094639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.7759329,-87.605831782,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
41.775938533,-87.592967247,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.775943597,-87.599745874,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.775955028,-87.598528586,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41.775957742,-87.592967026,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1
41.775960062,-87.599745686,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.775972835,-87.602179856,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.775976974,-87.592970471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.77597783,-87.603396958,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.775987036,-87.600962537,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.775992044,-87.602179638,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.775997083,-87.596097456,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
41.775998479,-87.599745249,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
41.776003524,-87.600966016,11,1,2,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5,5
41.776006991,-87.605830944,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
41.776016248,-87.603396522,3,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
41.77602123,-87.604613624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.776022732,-87.600965797,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41.776024095,-87.597314305,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.776029142,-87.598531406,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.776043304,-87.597314086,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
41.776044763,-87.590293408,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
41.776046796,-87.5901834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.77604788,-87.589926758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.776048022,-87.589948753,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
41.776048351,-87.598531187,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.776048426,-87.590011073,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.77604871,-87.590055063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.776050482,-87.589904731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.776051988,-87.596100493,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
41.776053384,-87.599748289,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.776066158,-87.602182463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.776068387,-87.588009129,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41.776070273,-87.592969398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
41.776070631,-87.587932114,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.776071197,-87.596100273,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
41.776071496,-87.587642478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.77607324,-87.58748848,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.776073407,-87.587514141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.77607374,-87.587565463,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
