lat,lon,Total_Crimes,Summer,Winter,Spring
41.88821023,-87.62802687,2,0,1,1
41.88822296,-87.62519152,1,1,0,0
41.88823019,-87.63398353,1,1,0,0
41.8882407,-87.62539699,2,2,0,0
41.88826074,-87.62955042,1,0,0,1
41.88826519,-87.62536366,2,0,0,1
41.88826749,-87.62707505,16,5,3,2
41.88828159,-87.62802976,4,1,0,3
41.88828871,-87.62383929,3,2,0,1
41.88828939,-87.62394946,1,0,0,0
41.88828953,-87.6239715,1,0,1,0
41.88832003,-87.62803301,1,0,1,0
41.88832973,-87.62514994,2,1,0,0
41.88835408,-87.62955674,1,0,0,1
41.8883655,-87.64137125,2,1,1,0
41.88837217,-87.62803243,4,1,0,1
41.88838116,-87.62148416,1,0,0,1
41.8884151,-87.6238636,1,0,0,1
41.88842344,-87.61901205,1,1,0,0
41.88843169,-87.62344107,1,1,0,0
41.88843809,-87.62447667,1,0,0,0
41.88848352,-87.64137365,2,0,1,1
41.88859992,-87.63251047,8,3,1,2
41.8886761,-87.63691306,7,5,2,0
41.88873093,-87.63104735,1,1,0,0
41.88875291,-87.63105078,1,0,0,0
41.88875712,-87.6339888,1,0,0,0
41.88876663,-87.63105063,2,0,0,1
41.8887783,-87.63251219,18,1,9,2
41.88878858,-87.63105039,3,1,0,1
41.88880851,-87.63251553,2,2,0,0
41.88880861,-87.62804967,1,1,0,0
41.88889833,-87.62702036,1,0,0,0
41.88899385,-87.62693483,69,18,17,17
41.88901326,-87.64138997,1,1,0,0
41.88903285,-87.63105506,1,0,0,0
41.88904379,-87.64053759,2,0,1,0
41.88904981,-87.64017027,1,0,0,0
41.88905594,-87.64073211,1,1,0,0
41.88906854,-87.638275,3,2,1,0
41.88910091,-87.63908997,1,0,0,0
41.88912848,-87.63729744,1,1,0,0
41.88914299,-87.63607063,1,0,0,1
41.88914331,-87.63612205,1,0,0,0
41.88915883,-87.63461244,1,0,0,0
41.88916101,-87.6345206,2,1,1,0
41.88917324,-87.63337461,1,0,0,0
41.88917541,-87.6332791,2,0,1,0
41.88917728,-87.63313585,1,0,1,0
41.88917741,-87.63315788,1,0,1,0
41.88917757,-87.63318359,13,6,2,2
41.88917944,-87.63304033,9,4,1,4
41.88917957,-87.63306237,11,0,3,5
41.88917986,-87.63311011,17,3,5,5
41.88918405,-87.63289705,1,0,0,0
41.88919327,-87.63215876,1,0,0,0
41.8891977,-87.6319861,1,1,0,0
41.88919966,-87.63185753,9,1,1,3
41.88920162,-87.63172897,1,0,0,0
41.88920232,-87.61761146,19,6,3,8
41.88920358,-87.63160041,5,0,2,2
41.88920383,-87.6316408,14,1,7,3
41.88920801,-87.63142775,1,0,1,0
41.88922282,-87.6302597,5,1,2,1
41.88922289,-87.63027071,3,1,2,0
41.88922478,-87.63013113,2,0,1,1
41.88922516,-87.63019356,24,8,8,3
41.88922723,-87.63008336,12,3,4,5
41.88924025,-87.62907325,2,0,2,0
41.88924223,-87.62894836,1,0,0,0
41.88924396,-87.62878307,2,2,0,0
41.88924544,-87.62857739,7,1,2,2
41.88924571,-87.62862146,1,0,0,0
41.88924719,-87.62841578,1,0,0,1
41.88926111,-87.62044606,1,0,1,0
41.88930259,-87.62715913,1,1,0,0
41.88933503,-87.63696466,4,0,0,2
41.88936929,-87.63402252,19,1,8,5
41.88939315,-87.63253485,9,3,2,2
41.88941436,-87.63106557,7,2,2,0
41.88943553,-87.62959262,6,2,3,1
41.88945317,-87.62799483,33,6,8,11
41.88946287,-87.62422294,48,9,8,18
41.88948884,-87.62799444,1,0,0,1
41.8894911,-87.63826675,1,0,0,0
41.88949746,-87.61829494,6,1,1,2
41.88949848,-87.62421153,1,0,0,1
41.88949984,-87.61823616,1,1,0,0
41.88950141,-87.62959557,4,1,2,1
41.88951591,-87.63106813,2,0,2,0
41.88951902,-87.6266536,4,1,1,0
41.8895227,-87.61706066,1,0,0,0
41.88952864,-87.61669333,1,0,0,0
41.88953068,-87.61657946,2,1,0,0
41.88953942,-87.63402067,1,0,1,0
41.88954918,-87.6266496,2,1,0,0
41.88955192,-87.62664957,8,3,3,0
41.88956058,-87.63254037,2,1,0,0
41.88956138,-87.62018931,1,1,0,0
41.88956143,-87.62019665,23,12,4,6
41.88957001,-87.62959481,1,1,0,0
41.88957108,-87.63697312,3,0,1,1
41.88957509,-87.63402028,1,0,0,0
41.88958211,-87.62664923,7,2,2,2
41.88960296,-87.62959813,16,1,3,6
41.88961747,-87.63107069,16,5,0,6
41.88965039,-87.63107033,3,0,0,1
41.88965625,-87.62799627,3,0,1,2
41.88966882,-87.6295974,5,2,2,0
41.88967543,-87.62665188,1,0,0,0
41.88968203,-87.62416176,1,0,0,0
41.88969192,-87.62799588,1,1,0,0
41.88970957,-87.63402248,1,0,1,0
41.88971627,-87.63107328,2,2,0,0
41.88975195,-87.63107289,26,8,8,7
41.88976055,-87.6279988,3,0,0,0
41.88979936,-87.6325451,2,1,0,1
41.88981783,-87.63107584,1,0,0,1
41.8898621,-87.62800135,1,0,0,1
41.88989674,-87.61763309,1,0,0,0
41.88989776,-87.62666044,1,0,0,1
41.88989983,-87.61856958,1,1,0,0
41.88990668,-87.62410051,90,31,17,15
41.88993432,-87.63758985,10,4,2,1
41.88993496,-87.63769635,14,4,4,2
41.88993644,-87.63748699,18,9,2,1
41.8899369,-87.63756411,6,2,1,3
41.88994653,-87.63688824,3,0,2,1
41.88995405,-87.6363189,2,0,0,2
41.88995938,-87.6358414,4,1,2,1
41.88995988,-87.61763605,1,0,0,0
41.88997381,-87.63460355,1,0,0,0
41.88997591,-87.63449702,2,0,1,1
41.8899762,-87.63454477,1,0,1,0
41.88997629,-87.63455946,6,3,1,1
41.88997638,-87.63457414,3,0,2,0
41.88997647,-87.63458883,2,1,0,1
41.88997809,-87.63440518,2,0,2,0
41.88998946,-87.62195476,1,1,0,0
41.88999289,-87.63322977,1,0,1,0
41.8899946,-87.63306081,1,0,1,0
41.88999676,-87.6329653,2,2,0,0
41.8900113,-87.63174949,1,0,0,0
41.89001157,-87.63179356,2,0,1,0
41.89001183,-87.63183763,5,2,1,1
41.89001208,-87.63187803,1,0,0,0
41.89001325,-87.63162093,5,1,0,3
41.89001352,-87.631665,76,19,23,23
41.89001377,-87.63170539,51,9,7,10
41.89002011,-87.62158716,1,1,0,0
41.89002692,-87.63071363,2,0,1,0
41.89002998,-87.63031695,2,0,1,0
41.89003013,-87.63034266,3,0,1,1
41.89003022,-87.63035735,8,1,5,0
41.89003202,-87.63020308,2,0,0,2
41.89003234,-87.63025449,1,0,1,0
41.89003403,-87.63008186,1,0,0,0
41.89003416,-87.63010389,4,1,1,2
41.89003418,-87.63010756,1,1,0,0
41.89003434,-87.63013327,1,0,0,0
41.89003612,-87.62997533,1,0,1,0
41.89004222,-87.61763881,1,0,1,0
41.89004711,-87.62908275,1,0,1,0
41.89004736,-87.62912315,2,0,2,0
41.89004934,-87.62899826,8,4,2,1
41.89005105,-87.62882929,3,1,0,2
41.8900513,-87.62886969,6,0,2,1
41.89005157,-87.62891376,36,10,8,10
41.89005303,-87.6287044,2,1,0,1
41.89005327,-87.6287448,3,1,1,1
41.89005352,-87.6287852,2,0,1,0
41.89005498,-87.62857584,6,0,2,3
41.89005525,-87.62861991,1,0,0,0
41.8900555,-87.6286603,4,2,1,0
41.89005721,-87.62849134,35,14,8,7
41.89005943,-87.62840685,3,3,0,0
41.89006417,-87.61763856,3,1,0,1
41.89007139,-87.62767218,2,0,0,0
41.8900755,-87.62744811,4,1,1,0
41.89007961,-87.62722403,3,0,1,1
41.89008124,-87.62704405,11,5,2,1
41.89009328,-87.62632408,1,1,0,0
41.89009564,-87.62626162,1,0,1,0
41.89010186,-87.62593468,1,0,0,1
41.89010224,-87.62599711,1,0,0,1
41.8901191,-87.62517058,1,0,0,1
41.89013264,-87.62158958,12,4,0,3
41.89014475,-87.63699259,2,0,1,1
41.89018042,-87.63699221,4,0,2,1
41.89020729,-87.63554121,3,0,1,1
41.8902216,-87.63699543,12,6,1,4
41.89022476,-87.63255147,1,0,1,0
41.89023573,-87.63255135,1,0,0,1
41.89024327,-87.63108955,4,1,0,1
41.89025026,-87.63403495,6,4,0,1
41.89025394,-87.6355407,1,1,0,0
41.89025768,-87.63255111,1,0,0,0
41.89025893,-87.62961296,7,2,1,2
41.89026491,-87.63554059,1,0,0,0
41.89026522,-87.63108931,13,7,1,4
41.89026559,-87.62801528,1,0,0,1
41.8902762,-87.63108919,1,1,0,0
41.89028238,-87.63255084,1,1,0,0
41.89028319,-87.63403459,1,0,1,0
41.89028756,-87.62801871,3,1,2,0
41.89029854,-87.62801859,1,0,0,1
41.89030946,-87.6266706,1,0,0,1
41.89031121,-87.61764682,5,2,0,2
41.89031518,-87.61960799,6,3,1,2
41.89031614,-87.6340379,1,0,0,1
41.89031704,-87.61858329,1,1,0,0
41.89032287,-87.63109235,3,0,0,1
41.89032321,-87.62667412,1,1,0,0
41.89032629,-87.63255036,1,0,0,0
41.89033578,-87.62961579,11,4,0,3
41.89033688,-87.62532977,2,1,0,1
41.89034245,-87.6280181,2,1,0,0
41.8903558,-87.63109199,1,0,1,0
41.89036442,-87.62802154,9,3,4,1
41.89036711,-87.62667363,12,2,1,7
41.8903754,-87.62802141,14,4,6,3
41.89037809,-87.62667351,1,0,0,1
41.89038424,-87.62410992,22,11,3,3
41.89038872,-87.63109163,2,1,1,0
41.89038906,-87.62667339,14,4,5,3
41.89038912,-87.62802126,4,1,2,0
41.89038929,-87.61961083,8,2,1,4
41.89039343,-87.62961883,1,0,1,0
41.89040009,-87.62802114,10,5,2,0
41.8904107,-87.63109506,1,0,0,1
41.89042201,-87.6266767,1,0,0,1
41.8904364,-87.62411301,1,0,1,0
41.8904556,-87.6241128,15,2,2,3
41.89047864,-87.6176523,2,1,0,0
41.89049404,-87.62411605,1,1,0,0
41.89055992,-87.62411899,1,0,0,1
41.89057845,-87.62667865,1,0,0,1
41.89060348,-87.63255468,1,0,1,0
41.89062243,-87.62802972,1,0,0,1
41.89071052,-87.61435531,4,1,2,0
41.89073263,-87.63799987,3,0,2,0
41.89073559,-87.62412439,2,1,0,1
41.89073636,-87.63770969,1,0,1,0
41.89075306,-87.63639101,2,0,1,0
