lat,lon,Total_Crimes,Total_Arrests,ASSAULT,BATTERY,BURGLARY,Damage,Trespass,HOMICIDE,MOTOR VEHICLE THEFT,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Summer,Winter,Spring
41.99225984,-87.70552996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99226221,-87.78875317,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99228094,-87.77947573,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99228945,-87.78238538,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99229103,-87.79136468,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.99229776,-87.71047722,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99230755,-87.74832929,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
41.99233654,-87.78247694,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
41.99235711,-87.75485825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.99236043,-87.728873,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99239788,-87.73130048,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.99239875,-87.73251439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.9924103,-87.72016541,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41.99241608,-87.73372815,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.99243529,-87.73372797,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.99244296,-87.74475618,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41.99250485,-87.70919507,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99250588,-87.7288753,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99254126,-87.7361585,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99254156,-87.72887496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99254192,-87.71147541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99256832,-87.78676046,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
41.99259526,-87.78035218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99259808,-87.72141432,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99260362,-87.7276347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99261065,-87.72017084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.99262566,-87.70068539,4,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
41.99263476,-87.73251585,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0
41.99265131,-87.7164919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99266804,-87.70190257,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
41.99266989,-87.78160592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
