Crosswalk,CurbRamp,NoCurbRamp,NoSidewalk,Obstacle,Other,Signal,SurfaceProblem,lat,lon
0,0,0,0,0,0,0,5,41.772507,-87.61499
0,0,0,0,0,0,0,2,41.772514,-87.61463
0,0,0,0,0,0,0,2,41.77254,-87.61313
0,0,0,0,0,0,0,3,41.772655,-87.61481
0,0,0,0,3,0,0,0,41.772694,-87.61485
0,1,0,0,0,0,0,0,41.77273,-87.61529
0,0,0,0,0,0,0,2,41.772762,-87.61498
0,0,0,0,0,0,0,3,41.77277,-87.61314
2,0,0,0,0,0,0,0,41.772823,-87.61519
0,0,0,0,0,0,0,2,41.77283,-87.61313
0,1,0,0,0,0,0,0,41.772842,-87.6154
0,0,0,0,0,0,0,2,41.772846,-87.61507
2,0,0,0,0,0,0,0,41.77286,-87.61546
0,1,0,0,0,0,0,0,41.772884,-87.61513
0,1,0,0,0,0,0,0,41.772892,-87.61516
0,2,0,0,0,0,0,0,41.772915,-87.61554
0,0,0,0,0,0,0,2,41.772934,-87.61357
1,0,0,0,0,0,0,0,41.772938,-87.61305
0,1,0,0,0,0,0,0,41.77294,-87.61415
0,2,0,0,0,0,0,0,41.77294,-87.61432
0,1,0,0,0,0,0,0,41.772945,-87.61312
0,1,0,0,0,0,0,0,41.77295,-87.61315
1,0,0,0,0,0,0,0,41.77295,-87.61185
0,1,0,0,0,0,0,0,41.77295,-87.61187
0,1,0,0,0,0,0,0,41.772957,-87.61295
0,2,0,0,0,0,0,0,41.772957,-87.61175
0,1,0,0,0,0,0,0,41.77296,-87.61292
0,3,0,0,0,0,0,0,41.772964,-87.61555
2,0,0,0,0,0,0,0,41.772976,-87.61523
0,2,0,0,0,0,0,0,41.772976,-87.61193
0,2,0,0,0,0,0,0,41.772976,-87.610695
0,2,0,0,0,0,0,0,41.77298,-87.611725
1,0,0,0,0,0,0,0,41.77298,-87.615555
1,0,0,0,0,0,0,0,41.772987,-87.61435
2,0,0,0,0,0,0,0,41.772987,-87.6106
3,0,0,0,0,0,0,0,41.77299,-87.61534
0,2,0,0,0,0,0,0,41.77299,-87.61053
1,0,0,0,0,0,0,0,41.773003,-87.61415
0,3,0,0,0,0,0,0,41.773003,-87.61532
0,1,0,0,0,0,0,0,41.773003,-87.61072
0,2,0,0,0,0,0,0,41.773003,-87.60948
0,1,0,0,0,0,0,0,41.773003,-87.609314
1,0,0,0,0,0,0,0,41.773006,-87.6094
0,2,0,0,0,0,0,0,41.773018,-87.614365
1,0,0,0,0,0,0,0,41.773018,-87.61293
0,1,0,0,0,0,0,0,41.77302,-87.60951
1,0,0,0,0,0,0,0,41.77302,-87.60821
0,1,0,0,0,0,0,0,41.773026,-87.60828
1,0,0,0,0,0,0,0,41.773026,-87.61314
0,2,0,0,0,0,0,0,41.773026,-87.60929
0,0,0,0,0,0,0,2,41.77303,-87.61488
2,0,0,0,0,0,0,0,41.77303,-87.611946
3,0,0,0,0,0,0,0,41.77303,-87.61174
0,0,0,0,0,0,0,2,41.773033,-87.61476
0,1,0,0,0,0,0,0,41.773037,-87.60815
1,0,0,0,0,0,0,0,41.773037,-87.60702
0,1,0,0,0,0,0,0,41.77304,-87.60829
0,2,0,0,0,0,0,0,41.77304,-87.606964
0,2,0,0,0,0,0,0,41.77304,-87.61556
0,2,0,0,0,0,0,0,41.773045,-87.608116
0,1,0,0,0,0,0,0,41.773045,-87.61531
0,2,0,0,0,0,0,0,41.773045,-87.60707
0,0,0,0,0,0,0,3,41.77305,-87.61462
0,0,0,0,0,0,0,2,41.773052,-87.615166
0,1,0,0,0,0,0,0,41.773056,-87.61416
0,0,0,0,3,0,0,0,41.773056,-87.606224
0,1,0,0,0,0,0,0,41.77306,-87.61535
2,0,0,0,0,0,0,0,41.77306,-87.610504
0,1,0,0,0,0,0,0,41.773064,-87.61435
2,0,0,0,0,0,0,0,41.773064,-87.615456
1,0,0,0,0,0,0,0,41.773064,-87.6058
0,2,0,0,0,0,0,0,41.773064,-87.606926
1,0,0,0,0,0,0,0,41.773064,-87.61074
0,0,0,0,0,0,0,4,41.773067,-87.614456
0,1,0,0,0,0,0,0,41.773067,-87.60711
0,1,0,0,0,0,0,0,41.77307,-87.61537
0,0,0,0,2,0,0,0,41.77307,-87.606
2,0,0,0,0,0,0,0,41.773075,-87.614265
0,1,0,0,0,0,0,0,41.773075,-87.61419
0,1,0,0,0,0,0,0,41.773075,-87.61317
1,0,0,0,0,0,0,0,41.77308,-87.60953
0,1,0,0,0,0,0,0,41.77308,-87.60591
0,1,0,0,0,0,0,0,41.773083,-87.60565
0,1,0,0,0,0,0,0,41.773083,-87.61295
0,1,0,0,0,0,0,0,41.773087,-87.605934
1,0,0,0,0,0,0,0,41.77309,-87.609314
0,0,0,0,2,0,0,0,41.77309,-87.61362
0,1,0,0,0,0,0,0,41.773094,-87.60563
0,1,0,0,0,0,0,0,41.773094,-87.61314
1,0,0,0,0,0,0,0,41.773098,-87.60831
1,0,0,0,0,0,0,0,41.773098,-87.61307
0,2,0,0,0,0,0,0,41.773098,-87.61196
0,2,0,0,0,0,0,0,41.7731,-87.61176
0,1,0,0,0,0,0,0,41.773106,-87.61299
0,1,0,0,0,0,0,0,41.773106,-87.61075
0,2,0,0,0,0,0,0,41.77311,-87.60467
1,0,0,0,0,0,0,0,41.77311,-87.60809
0,1,0,0,0,0,0,0,41.773113,-87.60345
1,0,0,0,0,0,0,0,41.773113,-87.61186
0,2,0,0,0,0,0,0,41.773113,-87.60444
1,0,0,0,0,0,0,0,41.773117,-87.60712
0,1,0,0,0,0,0,0,41.773117,-87.61192
0,1,0,0,0,0,0,0,41.773117,-87.61179
0,1,0,0,0,0,0,0,41.77312,-87.61052
2,0,0,0,0,0,0,0,41.773125,-87.60693
0,1,0,0,0,0,0,0,41.773125,-87.61072
0,3,0,0,0,0,0,0,41.77313,-87.60322
0,2,0,0,0,0,0,0,41.773132,-87.602234
0,1,0,0,0,0,0,0,41.773136,-87.6093
0,1,0,0,0,0,0,0,41.77314,-87.61056
0,3,0,0,0,0,0,0,41.77314,-87.602005
0,1,0,0,0,0,0,0,41.773144,-87.60952
0,2,0,0,0,0,0,0,41.773144,-87.60101
1,0,0,0,0,0,0,0,41.773144,-87.61064
0,2,0,0,0,0,0,0,41.773148,-87.6008
0,1,0,0,0,0,0,0,41.773148,-87.599785
1,0,0,0,0,0,0,0,41.773155,-87.605606
0,1,0,0,0,0,0,0,41.773155,-87.6095
1,0,0,0,0,0,0,0,41.773155,-87.60939
0,1,0,0,0,0,0,0,41.773155,-87.6083
2,0,0,0,0,0,0,0,41.77316,-87.60466
1,0,0,0,0,0,0,0,41.77316,-87.60594
0,1,0,0,0,0,0,0,41.77316,-87.59858
0,2,0,0,0,0,0,0,41.773163,-87.60811
0,2,0,0,0,0,0,0,41.773167,-87.598366
2,0,0,0,0,0,0,0,41.773167,-87.60444
0,1,0,0,0,0,0,0,41.773167,-87.60935
