Crosswalk,CurbRamp,NoCurbRamp,NoSidewalk,Obstacle,Other,Signal,SurfaceProblem,lat,lon
0,1,0,0,0,0,0,0,41.89436,-87.66552
2,0,0,0,0,0,0,0,41.894386,-87.66563
0,0,0,0,0,0,0,2,41.894676,-87.66962
2,0,0,0,0,0,0,0,41.894753,-87.6868
0,1,0,0,0,0,0,0,41.894756,-87.68674
0,1,0,0,0,0,0,0,41.89476,-87.68695
0,1,0,0,0,0,0,0,41.894764,-87.68669
0,1,0,0,0,0,0,0,41.89478,-87.68698
1,0,0,0,0,0,0,0,41.89482,-87.68699
1,0,0,0,0,0,0,0,41.894836,-87.68665
0,1,0,0,0,0,0,0,41.894867,-87.68699
0,1,0,0,0,0,0,0,41.894894,-87.68666
0,1,0,0,0,0,0,0,41.894894,-87.68696
2,0,0,0,0,0,0,0,41.894905,-87.686806
0,1,0,0,0,0,0,0,41.894928,-87.68673
0,1,0,0,0,0,0,0,41.895016,-87.672195
0,1,0,0,0,0,0,0,41.89503,-87.67208
0,1,0,0,0,0,0,0,41.895035,-87.67222
0,2,0,0,0,0,0,0,41.89505,-87.67207
0,1,0,0,0,0,0,0,41.895054,-87.669754
0,1,0,0,0,0,0,0,41.89506,-87.66974
0,1,0,0,0,0,0,0,41.89506,-87.669624
2,0,0,0,0,0,0,0,41.89507,-87.667206
0,1,0,0,0,0,0,0,41.89507,-87.66715
0,0,0,0,0,0,0,2,41.895073,-87.6684
1,0,0,0,0,0,0,0,41.895073,-87.672104
1,0,0,0,0,0,0,0,41.89508,-87.67224
0,1,0,0,0,0,0,0,41.895092,-87.66963
0,0,0,0,0,0,0,3,41.895096,-87.66804
0,1,0,0,0,0,0,0,41.895096,-87.667336
0,0,0,0,0,0,0,4,41.895096,-87.66768
1,0,0,0,0,0,0,0,41.895107,-87.66964
0,1,0,0,0,0,0,0,41.895107,-87.66709
0,1,0,0,0,0,0,0,41.895115,-87.66736
1,0,0,0,0,0,0,0,41.895115,-87.66978
1,0,0,0,0,0,0,0,41.895123,-87.66569
0,1,0,0,0,0,0,0,41.895126,-87.67206
0,3,0,0,0,0,0,0,41.89513,-87.66574
0,1,0,0,0,0,0,0,41.895134,-87.67223
0,1,0,0,0,0,0,0,41.89515,-87.672066
1,0,0,0,0,0,0,0,41.895153,-87.67213
0,1,0,0,0,0,0,0,41.895153,-87.67221
1,0,0,0,0,0,0,0,41.895157,-87.6671
0,0,0,0,0,0,0,1,41.89516,-87.671616
1,0,0,0,0,0,0,0,41.89516,-87.66737
0,1,0,0,0,0,0,0,41.89516,-87.66977
