Crosswalk,CurbRamp,NoCurbRamp,NoSidewalk,Obstacle,Other,Signal,SurfaceProblem,lat,lon
0,2,0,0,0,0,0,0,41.46695,-87.69511
0,1,0,0,0,0,0,0,41.466953,-87.6941
0,1,0,0,0,0,0,0,41.466957,-87.69406
0,1,0,0,0,0,0,0,41.46696,-87.693825
0,1,0,0,0,0,0,0,41.46697,-87.69387
0,1,0,0,0,0,0,0,41.466976,-87.693794
0,1,0,0,0,0,0,0,41.466976,-87.694046
1,0,0,0,0,0,0,0,41.46698,-87.69394
0,1,0,0,0,0,0,0,41.466984,-87.69384
0,0,0,0,5,0,0,0,41.466988,-87.6902
0,0,0,0,0,0,0,1,41.466995,-87.695015
0,0,0,0,5,0,0,0,41.467022,-87.689835
0,0,0,2,0,0,0,0,41.467026,-87.68581
0,0,0,0,5,0,0,0,41.46707,-87.68931
0,0,0,1,0,0,0,0,41.46707,-87.67264
0,0,0,0,5,0,0,0,41.467133,-87.68879
0,0,0,0,5,0,0,0,41.467136,-87.688354
0,0,0,0,0,0,0,2,41.46715,-87.69505
0,0,0,1,0,0,0,0,41.467186,-87.6728
0,0,0,1,0,0,0,0,41.467213,-87.67243
0,1,0,0,0,0,0,0,41.46726,-87.6878
0,1,0,0,0,0,0,0,41.467316,-87.68797
0,0,0,1,0,0,0,0,41.46733,-87.67261
0,1,0,0,0,0,0,0,41.467346,-87.68782
0,0,0,1,0,0,0,0,41.467487,-87.6732
0,0,0,1,0,0,0,0,41.467495,-87.672844
0,0,0,0,0,0,0,1,41.46755,-87.693825
0,0,0,1,0,0,0,0,41.467636,-87.67302
0,0,0,1,0,0,0,0,41.46765,-87.67339
0,0,0,0,4,0,0,0,41.46766,-87.68809
0,0,0,0,4,0,0,0,41.467674,-87.68796
0,0,0,0,0,0,0,1,41.467712,-87.6951
0,0,0,1,0,0,0,0,41.467754,-87.67318
0,0,0,0,0,0,0,1,41.467796,-87.694176
0,0,0,0,4,0,0,0,41.467827,-87.68813
0,0,0,0,0,0,0,1,41.46787,-87.69386
0,0,0,1,0,0,0,0,41.46791,-87.673386
0,0,0,0,0,0,0,1,41.46795,-87.69388
0,0,0,1,0,0,0,0,41.467976,-87.67343
1,0,0,0,0,0,0,0,41.468,-87.68816
0,0,0,1,0,0,0,0,41.468014,-87.673775
0,2,0,0,0,0,0,0,41.468018,-87.68822
0,1,0,0,0,0,0,0,41.468052,-87.68811
0,0,0,0,0,0,0,1,41.46806,-87.693886
0,1,0,0,0,0,0,0,41.468117,-87.688156
1,0,0,0,0,0,0,0,41.46817,-87.68822
0,0,0,1,0,0,0,0,41.46818,-87.67342
0,2,0,0,0,0,0,0,41.468185,-87.68817
0,0,0,1,0,0,0,0,41.4682,-87.673904
0,0,0,0,4,0,0,0,41.468292,-87.69067
0,0,0,1,0,0,0,0,41.468296,-87.673706
0,1,0,0,0,0,0,0,41.468346,-87.683334
0,0,0,0,4,0,0,0,41.46835,-87.68835
0,0,0,0,0,0,0,2,41.46841,-87.69081
0,0,0,0,4,0,0,0,41.468414,-87.69083
0,0,0,1,0,0,0,0,41.468422,-87.67374
0,0,0,0,0,0,0,1,41.468445,-87.69518
0,0,0,0,4,0,0,0,41.46845,-87.690704
0,0,0,0,3,0,0,0,41.468464,-87.68833
0,0,0,1,0,0,0,0,41.468483,-87.67406
0,0,0,0,0,0,0,2,41.46856,-87.69521
0,0,0,0,0,0,0,2,41.468613,-87.69519
0,0,0,0,3,0,0,0,41.46863,-87.68834
0,0,0,0,4,0,0,0,41.468678,-87.68848
0,0,0,1,0,0,0,0,41.46868,-87.67386
0,0,0,0,3,0,0,0,41.46872,-87.690895
0,0,0,0,0,0,0,2,41.46874,-87.68848
0,0,0,0,0,0,0,3,41.468815,-87.69089
0,0,0,1,0,0,0,0,41.468845,-87.6742
0,0,0,0,5,0,0,0,41.468887,-87.69079
0,0,0,0,0,0,0,2,41.468895,-87.690895
0,0,0,1,0,0,0,0,41.468983,-87.67402
0,1,0,0,0,0,0,0,41.469006,-87.6862
0,0,0,0,0,0,0,3,41.469017,-87.6909
0,0,0,0,0,0,0,1,41.469067,-87.693954
0,0,0,0,4,0,0,0,41.46907,-87.690895
0,0,0,0,4,0,0,0,41.469093,-87.6908
0,0,0,4,0,0,0,0,41.469116,-87.674034
0,0,0,0,0,0,0,3,41.469147,-87.690895
0,1,0,0,0,0,0,0,41.46915,-87.69403
0,1,0,0,0,0,0,0,41.46915,-87.688545
0,1,0,0,0,0,0,0,41.469154,-87.69412
0,1,0,0,0,0,0,0,41.46916,-87.69409
0,1,0,0,0,0,0,0,41.469166,-87.69421
1,0,0,0,0,0,0,0,41.46917,-87.69408
1,0,0,0,0,0,0,0,41.46917,-87.69418
0,1,0,0,0,0,0,0,41.469177,-87.69423
0,1,0,0,0,0,0,0,41.469177,-87.69415
0,1,0,0,0,0,0,0,41.469177,-87.694115
0,0,0,0,0,0,0,1,41.46918,-87.695244
0,0,0,4,0,0,0,0,41.469185,-87.674286
0,1,0,0,0,0,0,0,41.469196,-87.69405
1,0,0,0,0,0,0,0,41.469223,-87.69528
0,0,0,0,0,0,0,1,41.469227,-87.695145
0,2,0,0,0,0,0,0,41.46923,-87.69521
1,0,0,0,0,0,0,0,41.46923,-87.69423
0,1,0,0,0,0,0,0,41.46923,-87.69396
0,2,0,0,0,0,0,0,41.46923,-87.68858
0,1,0,0,0,0,0,0,41.469246,-87.69429
0,1,0,0,0,0,0,0,41.46925,-87.69422
